Category,Name,Material,Quantity,TotalLength,TotalArea,TotalVolume
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:211560,,1,117.39704,0.0,384333.008167
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:211561,,1,117.4092,0.0,384382.258144
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:211562,,1,117.4092,0.0,384382.258144
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:211563,,1,117.4092,0.0,384382.258144
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:211564,,1,117.4092,0.0,384382.258144
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:211565,,1,117.4092,0.0,384382.258144
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212129,,1,2550.193761,0.0,10510534.731221
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212130,,1,4955.000038,0.0,19885500.154497
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212131,,1,2550.193761,0.0,10510534.731221
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212132,,1,4955.000038,0.0,19885500.154497
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212133,,1,117.40312,0.0,384357.63439
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212134,,1,117.40312,0.0,384357.63439
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212135,,1,117.40312,0.0,384357.63439
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212136,,1,117.40312,0.0,384357.63439
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212137,,1,117.40312,0.0,384357.63439
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212138,,1,117.40312,0.0,384357.631921
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212139,,1,117.40312,0.0,384357.631921
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212140,,1,117.40312,0.0,384357.631921
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212141,,1,117.40312,0.0,384357.631921
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212142,,1,117.40312,0.0,384357.631921
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212143,,1,2550.193761,0.0,10510534.731221
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212144,,1,4955.000038,0.0,19885500.154497
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212145,,1,2550.193761,0.0,10510534.731221
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212146,,1,4955.000038,0.0,19885500.154497
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212147,,1,117.39704,0.0,384333.008167
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212148,,1,117.39704,0.0,384333.008167
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212149,,1,117.39704,0.0,384333.008167
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212150,,1,117.39704,0.0,384333.008167
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212151,,1,117.39704,0.0,384333.008167
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212152,,1,117.4092,0.0,384382.258144
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212153,,1,117.4092,0.0,384382.258144
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212154,,1,117.4092,0.0,384382.258144
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212155,,1,117.4092,0.0,384382.258144
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212156,,1,117.4092,0.0,384382.258144
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212720,,1,2550.193761,0.0,10510534.731221
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212721,,1,4955.000038,0.0,19885500.154497
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212722,,1,2550.193761,0.0,10510534.731221
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212723,,1,4955.000038,0.0,19885500.154497
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212724,,1,117.40312,0.0,384357.63439
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212725,,1,117.40312,0.0,384357.63439
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212726,,1,117.40312,0.0,384357.63439
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212727,,1,117.40312,0.0,384357.63439
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212728,,1,117.40312,0.0,384357.63439
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212729,,1,117.40312,0.0,384357.631921
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212730,,1,117.40312,0.0,384357.631921
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212731,,1,117.40312,0.0,384357.631921
